DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
210916801,11/22/2021,11/19/2020,1200,9,Van Nuys,932,2,354,THEFT OF IDENTITY,1501 1822,46,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,14700 FRIAR ST,,34.1857,-118.4574
200100535,1/14/2020,1/14/2020,1330,1,Central,152,1,210,ROBBERY,0416 0411 0344 1822 0305 0334 2004 1414 1202 1218,66,M,B,103,ALLEY,204,FOLDING KNIFE,IC,Invest Cont,210,,,,7TH,HILL,34.0463,-118.255
200914517,9/10/2020,9/9/2020,1735,9,Van Nuys,909,2,354,THEFT OF IDENTITY,0377 1822 0928,40,M,O,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,354,,,,13600 LEADWELL ST,,34.2039,-118.4312
200100538,1/14/2020,1/14/2020,1730,1,Central,162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 2032,31,M,H,404,DEPARTMENT STORE,,,IC,Invest Cont,341,,,,700 W 7TH ST,,34.048,-118.2577
200100543,1/15/2020,1/15/2020,1445,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402 0907,27,M,B,404,DEPARTMENT STORE,,,IC,Invest Cont,442,998,,,700 W 7TH ST,,34.048,-118.2577
211014725,11/18/2021,12/28/2020,1,10,West Valley,1045,2,354,THEFT OF IDENTITY,1822 0930 0929,46,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5700 ENFIELD AV,,34.1748,-118.5228
200100546,1/15/2020,1/15/2020,700,1,Central,166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0913 2004 1218,62,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230,,,,600 SAN JULIAN ST,,34.0428,-118.2461
211015072,11/29/2021,11/1/2020,1200,10,West Valley,1043,2,354,THEFT OF IDENTITY,1822,34,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,18600 COLLINS ST,,34.1745,-118.5383
201106067,2/15/2020,2/15/2020,1830,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,0344 0352 1307,43,M,A,108,PARKING LOT,,,IC,Invest Cont,330,,,,2700 N VERMONT AV,,34.1179,-118.293
200100552,1/19/2020,1/19/2020,2000,1,Central,111,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0305 0411 1202 1414 1402 1822 0906,71,M,W,148,PUBLIC RESTROOM/OUTSIDE*,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,,,,ALAMEDA,LOS ANGELES,34.0578,-118.2371
200815333,10/15/2020,10/15/2020,2000,8,West LA,814,2,624,BATTERY - SIMPLE ASSAULT,0417 0344 1823,50,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,100 S ACARI DR,,34.0701,-118.4679
200100556,1/20/2020,1/20/2020,400,1,Central,141,1,121,"RAPE, FORCIBLE",1414 1402 1415 0444 0527 0537 0400 0507 1822,19,F,B,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,998,,,300 S FIGUEROA ST,,34.0542,-118.2566
200100559,1/23/2020,1/23/2020,600,1,Central,111,1,310,BURGLARY,1402 1822 1414 0344,51,M,W,503,HOTEL,,,AO,Adult Other,310,,,,700 N MAIN ST,,34.0583,-118.2378
210816993,11/24/2021,4/28/2020,100,8,West LA,859,2,354,THEFT OF IDENTITY,0100 0930 1822,27,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8500 CASHIO ST,,34.0507,-118.3762
201111990,7/29/2020,7/29/2020,2020,11,Northeast,1124,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0444,33,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,3200 W AVENUE 32,,34.1186,-118.245
200117988,9/15/2020,9/3/2020,2000,1,Central,111,1,510,VEHICLE - STOLEN,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,510,,,,500 N FIGUEROA ST,,34.0615,-118.247
200100568,1/27/2020,1/27/2020,1500,1,Central,166,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1402 0910 0444 0443 0334 1202 1822 2051 2049,69,M,B,801,MTA BUS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,930,998,,,6TH,SAN JULIAN,34.0428,-118.2461
211015073,11/29/2021,11/1/2020,1200,10,West Valley,1043,2,354,THEFT OF IDENTITY,1822,39,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,18600 COLLINS ST,,34.1745,-118.5383
200716724,12/4/2020,12/3/2020,811,7,Wilshire,722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104,19,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,8400 BEVERLY BL,,34.0761,-118.3737
200914052,8/27/2020,8/27/2020,1255,9,Van Nuys,935,2,624,BATTERY - SIMPLE ASSAULT,444,57,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,14100 SYLVAN ST,,34.1847,-118.44
200100572,1/28/2020,1/28/2020,2100,1,Central,181,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1822 1414 1420,0,X,X,101,STREET,,,IC,Invest Cont,740,,,,11TH ST,FIGUEROA ST,34.0431,-118.2692
200810920,6/20/2020,6/20/2020,1000,8,West LA,841,2,624,BATTERY - SIMPLE ASSAULT,1202 0448,78,F,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,12100 SANTA MONICA BL,,34.0423,-118.4656
200100574,1/30/2020,1/29/2020,1930,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1414,0,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,700 W 7TH ST,,34.048,-118.2577
200100576,1/30/2020,1/30/2020,55,1,Central,195,1,330,BURGLARY FROM VEHICLE,0344 1605 1611 1822 0385 0321,24,M,H,101,STREET,,,AA,Adult Arrest,330,,,,18TH ST,LOS ANGELES ST,34.0317,-118.2626
200100578,1/31/2020,1/30/2020,2040,1,Central,163,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0947 0913 0416 0447 1402 0319 0443 1420 2004,52,M,H,401,MINI-MART,302,BLUNT INSTRUMENT,AA,Adult Arrest,230,,,,7TH ST,BROADWAY,34.0456,-118.254
200100583,2/4/2020,2/4/2020,920,1,Central,146,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 2004 1822 1402,38,F,H,203,OTHER BUSINESS,212,BOTTLE,AA,Adult Arrest,230,998,,,200 WINSTON ST,,34.0467,-118.247
200100584,2/4/2020,2/4/2020,1645,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1402,55,M,W,404,DEPARTMENT STORE,,,IC,Invest Cont,442,998,,,700 S FLOWER ST,,34.0487,-118.2588
221412410,6/15/2022,11/12/2020,1700,14,Pacific,1444,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,13600 MARINA POINT DR,,33.9876,-118.4489
200100587,2/6/2020,2/6/2020,1135,1,Central,163,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1310 1307 0329 1402,66,F,A,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,998,,,8TH,SPRING,34.0431,-118.2536
200218458,12/11/2020,12/11/2020,420,2,Rampart,233,1,761,BRANDISH WEAPON,1822 0334 0319 0416 0400 1402 1309 0216,34,M,W,108,PARKING LOT,109,SEMI-AUTOMATIC PISTOL,AO,Adult Other,761,998,,,2500 BEVERLY BL,,34.0708,-118.2798
201225288,11/26/2020,11/26/2020,115,12,77th Street,1257,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1823 0913 2038 0445,50,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",304,CLUB/BAT,AA,Adult Arrest,236,,,,500 W 77TH ST,,33.9698,-118.2833
200100596,2/8/2020,2/8/2020,1600,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2004 0344 0378,35,M,B,406,OTHER STORE,,,IC,Invest Cont,442,,,,700 W 7TH ST,,34.048,-118.2577
200407318,3/27/2020,3/27/2020,315,4,Hollenbeck,422,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,40,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,2600 N BROADWAY,,34.0736,-118.2156
200407198,3/22/2020,3/22/2020,430,4,Hollenbeck,466,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0416 1813 1243,27,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,300 N EVERGREEN AV,,34.0436,-118.2051
201112187,8/4/2020,7/16/2020,1900,11,Northeast,1144,2,662,"BUNCO, GRAND THEFT",0701 0913 0361,51,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,2100 HYPERION AV,,34.099,-118.2738
210109294,4/23/2021,12/1/2020,1200,1,Central,155,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,0,M,O,726,POLICE FACILITY,,,AA,Adult Arrest,845,,,,200 E 6TH ST,,34.0448,-118.2474
200104020,1/1/2020,1/1/2020,245,1,Central,153,1,350,"THEFT, PERSON",0344 0416 0446 1822,44,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,350,624,,,6TH ST,SPRING ST,34.0463,-118.2515
200104024,1/1/2020,1/1/2020,325,1,Central,134,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,41,M,A,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,4TH ST,HILL ST,34.0503,-118.2504
200104027,1/1/2020,1/1/2020,30,1,Central,182,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0416 0421 1822,57,M,O,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,930,,,,700 W 9TH ST,,34.0458,-118.2614
200104033,1/1/2020,1/1/2020,230,1,Central,143,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,25,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,400 S HILL ST,,34.0503,-118.2504
200811087,6/24/2020,6/23/2020,2200,8,West LA,898,2,624,BATTERY - SIMPLE ASSAULT,416,24,M,W,514,GROUP HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,8900 HARGIS ST,,34.0352,-118.387
200104035,1/1/2020,1/1/2020,230,1,Central,111,1,310,BURGLARY,0344 1822 1414 1605,34,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,700 YALE ST,,34.0612,-118.2417
200104036,1/1/2020,1/1/2020,500,1,Central,119,2,860,BATTERY WITH SEXUAL CONTACT,1218 1822 0910 0522 0408 0448 2015 1000,18,F,B,900,MTA - RED LINE - UNION STATION,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,800 N ALAMEDA ST,,34.0563,-118.2374
200104038,1/1/2020,1/1/2020,1200,1,Central,157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0337 0340 0416 0445 1822 1218 2021 1019,57,M,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,7TH,SAN PEDRO,34.0401,-118.2459
200104039,1/1/2020,1/1/2020,344,1,Central,162,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,55,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,745,,,,800 W 7TH ST,,34.0487,-118.2588
200104041,1/1/2020,1/1/2020,1030,1,Central,192,1,480,BIKE - STOLEN,1822 2032 0344,23,M,A,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,480,,,,HILL,WASHINGTON,34.032,-118.2657
200104043,1/1/2020,1/1/2020,1200,1,Central,112,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1218,55,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,ALISO,SPRING,34.0561,-118.2415
200321450,12/9/2020,12/9/2020,300,3,Southwest,333,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 0446 0408 2000 1814 0913 0216 1309 0329,54,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,3000 WELLINGTON RD,,34.0261,-118.3384
200104047,1/1/2020,1/1/2020,905,1,Central,153,2,623,BATTERY POLICE (SIMPLE),2004 1212 0917 0910 1822 0417 2048,0,X,X,902,MTA - RED LINE - PERSHING SQUARE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623,,,,500 S HILL ST,,34.0488,-118.2518
200104048,1/1/2020,1/1/2020,905,1,Central,153,2,623,BATTERY POLICE (SIMPLE),2004 1212 0917 0910 1822 0417 2048,0,X,X,902,MTA - RED LINE - PERSHING SQUARE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623,,,,500 S HILL ST,,34.0488,-118.2518
200104051,1/1/2020,1/1/2020,200,1,Central,161,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,22,F,A,735,NIGHT CLUB (OPEN EVENINGS ONLY),,,IC,Invest Cont,440,,,,800 FRANCISCO ST,,34.0487,-118.2627
200104054,1/2/2020,1/1/2020,2330,1,Central,135,2,624,BATTERY - SIMPLE ASSAULT,0416 1266 2004,28,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,WALL,5TH ST,34.0495,-118.2458
200812213,7/23/2020,6/22/2020,2005,8,West LA,898,2,956,"LETTERS, LEWD - TELEPHONE CALLS, LEWD",913,42,F,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,956,,,,2800 S BEDFORD ST,,34.0346,-118.3857
200104057,1/2/2020,1/1/2020,2045,1,Central,176,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 1822 0411,43,M,B,101,STREET,218,OTHER CUTTING INSTRUMENT,IC,Invest Cont,230,,,,7TH,LOS ANGELES,34.0424,-118.2493
200104058,1/2/2020,1/1/2020,1940,1,Central,135,2,624,BATTERY - SIMPLE ASSAULT,1218 1822 0416 2034 0371,46,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,LOS ANGELES ST,2ND ST,34.0485,-118.2447
200104060,1/2/2020,1/1/2020,1800,1,Central,153,2,624,BATTERY - SIMPLE ASSAULT,0416 1822 2004,56,F,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 S SPRING ST,,34.0467,-118.252
200104063,1/1/2020,1/1/2020,2030,1,Central,162,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 2032,55,F,O,108,PARKING LOT,,,IC,Invest Cont,341,,,,600 W 9TH ST,,34.0462,-118.2585
200104065,1/1/2020,1/1/2020,1830,1,Central,118,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 1609,55,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,,300 E ANN ST,,34.0639,-118.2306
200104066,1/1/2020,1/1/2020,2315,1,Central,182,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329 0910,0,X,X,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,9TH ST,GRAND AV,34.0444,-118.2593
200104069,1/2/2020,1/2/2020,545,1,Central,111,1,310,BURGLARY,1822 1414 0344 1609,0,X,X,210,RESTAURANT/FAST FOOD,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,800 N BROADWAY,,34.0623,-118.2383
200104073,1/2/2020,1/2/2020,345,1,Central,143,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,400 S SPRING ST,,34.0488,-118.25
200104075,1/2/2020,1/1/2020,2000,1,Central,166,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 1218,67,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,400 E 7TH ST,,34.0421,-118.2469
200104076,1/1/2020,1/1/2020,300,1,Central,153,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 2034 1822,57,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,,,,300 W 5TH ST,,34.0481,-118.2507
200104077,1/2/2020,1/1/2020,2030,1,Central,195,1,330,BURGLARY FROM VEHICLE,0344 1307 1822 0329 1609,37,F,H,101,STREET,,,IC,Invest Cont,330,,,,1800 S MAIN ST,,34.0317,-118.2641
200104078,1/2/2020,1/2/2020,820,1,Central,162,1,210,ROBBERY,0334 0325 1822 0443,0,X,X,403,DRUG STORE,218,OTHER CUTTING INSTRUMENT,IC,Invest Cont,210,,,,600 W 7TH ST,,34.0473,-118.2566
200104082,1/2/2020,1/2/2020,1225,1,Central,153,2,624,BATTERY - SIMPLE ASSAULT,416,60,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,7TH,SPRING,34.0449,-118.2528
200104090,1/2/2020,1/2/2020,1305,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,0,M,H,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,700 W 7TH ST,,34.048,-118.2577
200104092,1/2/2020,1/1/2020,1200,1,Central,111,1,310,BURGLARY,1822 0344 1602 0329,51,M,O,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,700 ALPINE ST,,34.0635,-118.2426
200918185,12/7/2020,12/7/2020,1203,9,Van Nuys,935,2,900,VIOLATION OF COURT ORDER,2000 2038,52,F,W,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,AA,Adult Arrest,900,,,,6200 SYLMAR AV,,34.1837,-118.4465
200104098,1/2/2020,1/2/2020,1240,1,Central,154,1,210,ROBBERY,2004 0913 0344 0334 0302 1402 1202,61,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,AO,Adult Other,210,998,,,100 E 5TH ST,,34.0467,-118.2485
200104101,1/2/2020,1/2/2020,800,1,Central,131,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416 0417 2002,38,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,100 S FIGUEROA ST,,34.0569,-118.254
200104118,1/2/2020,1/2/2020,1600,1,Central,159,2,624,BATTERY - SIMPLE ASSAULT,0400 2033 1822,36,F,B,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 E 4TH PL,,34.0445,-118.2367
200104120,1/2/2020,1/2/2020,1450,1,Central,158,1,310,BURGLARY,1822 1218 0344 1206 1605,59,M,H,516,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,,,IC,Invest Cont,310,,,,1200 E 7TH ST,,34.0395,-118.2405
200104126,1/2/2020,1/2/2020,1215,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,32,M,H,406,OTHER STORE,,,IC,Invest Cont,442,,,,700 S FLOWER ST,,34.0487,-118.2588
200104127,1/2/2020,1/2/2020,1130,1,Central,138,2,888,TRESPASSING,2004 0913,44,F,B,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,888,,,,300 E 3RD ST,,34.048,-118.2438
200104129,1/2/2020,1/2/2020,320,1,Central,124,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1822 1218 2004 1202,60,F,W,101,STREET,515,PHYSICAL PRESENCE,IC,Invest Cont,230,,,,1ST,MAIN,34.0522,-118.2434
210121427,10/26/2021,10/18/2020,528,1,Central,121,2,860,BATTERY WITH SEXUAL CONTACT,1822 0522 2034 2014,24,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,900 W TEMPLE ST,,34.0607,-118.2494
